site_no,station_nm,month,year,decade,Latitude,Longitude,sample_dt,num_pix,B1,B2,B3,B4,B6,cluster,SSC_mgL
st_s001,st_s001,5,2008,2005,68.1985002051985,-156.114299984688,2008-05-20,4,719,833,1030,745,280,2,378.454762580177
st_s001,st_s001,6,2008,2005,68.1985002051985,-156.114299984688,2008-06-21,4,661,863,783,588,294,2,74.9888634206055
st_s001,st_s001,6,2009,2005,68.1985002051985,-156.114299984688,2009-06-08,26,641,666,655,731,292,2,91.2310008088515
st_s001,st_s001,8,2009,2005,68.1985002051985,-156.114299984688,2009-08-11,1,548,708,693,675,287,2,102.145976402742
st_s001,st_s001,5,2011,2010,68.1985002051985,-156.114299984688,2011-05-29,7,786,1087,1187,924,288,2,207.098685303937
st_s001,st_s001,6,1986,1990,68.1985002051985,-156.114299984688,1986-06-16,2,721,979,1023,889,297,2,131.383791255724
st_s001,st_s001,8,1995,1995,68.1985002051985,-156.114299984688,1995-08-28,1,297,421,514,466,287,2,441.855791096006
st_s001,st_s001,8,2007,2005,68.1985002051985,-156.114299984688,2007-08-29,4,485,604,534,400,289,2,38.8326921427349
st_s001,st_s001,6,2008,2005,68.1985002051985,-156.114299984688,2008-06-28,3,444,635,525,348,292,2,33.3008372674353
st_s001,st_s001,7,2008,2005,68.1985002051985,-156.114299984688,2008-07-30,9,567,942,1050,953,283,2,224.631181894543
st_s001,st_s001,9,2009,2005,68.1985002051985,-156.114299984688,2009-09-03,4,477,592,467,363,283,2,19.5256299253064
st_s001,st_s001,9,1995,1995,68.1985002051985,-156.114299984688,1995-09-04,1,376,524,553,493,278,2,150.784414607099
st_s001,st_s001,5,2005,2005,68.1985002051985,-156.114299984688,2005-05-10,2,1660,1683,1760,1310,275,2,227.10906260566
st_s001,st_s001,8,2006,2005,68.1985002051985,-156.114299984688,2006-08-01,4,751,969,956,873,290,2,139.663028786363
st_s001,st_s001,8,2007,2005,68.1985002051985,-156.114299984688,2007-08-20,4,357,536,435,308,290,2,34.8789007227277
st_s001,st_s001,5,2011,2010,68.1985002051985,-156.114299984688,2011-05-27,7,792,1140,1230,938,291,2,220.252858389564
st_s001,st_s001,7,2021,2015,68.1985002051985,-156.114299984688,2021-07-12,2,567,680,661,619,290,2,96.4363024822273
st_s001,st_s001,6,2000,2000,68.1985002051985,-156.114299984688,2000-06-23,2,406,566,595,589,293,2,138.019054723851
st_s001,st_s001,8,2000,2000,68.1985002051985,-156.114299984688,2000-08-26,1,451,531,531,465,280,2,81.7136491644089
st_s001,st_s001,6,2001,2000,68.1985002051985,-156.114299984688,2001-06-10,9,898,1142,1303,942,285,2,253.006364601237
