site_no,station_nm,Latitude,Longitude,year,SSC_mgL
st_s001,st_s001,68.1985002051985,-156.114299984688,2008,176.012397383369
st_s001,st_s001,68.1985002051985,-156.114299984688,2009,143.80527211014
st_s001,st_s001,68.1985002051985,-156.114299984688,2011,195.115907174257
st_s001,st_s001,68.1985002051985,-156.114299984688,1986,131.383791255724
st_s001,st_s001,68.1985002051985,-156.114299984688,1995,296.320102851553
st_s001,st_s001,68.1985002051985,-156.114299984688,2007,97.2558019375784
st_s001,st_s001,68.1985002051985,-156.114299984688,2005,161.750598896027
st_s001,st_s001,68.1985002051985,-156.114299984688,2006,154.483130743144
st_s001,st_s001,68.1985002051985,-156.114299984688,2021,140.572407496456
st_s001,st_s001,68.1985002051985,-156.114299984688,2000,102.494288081285
st_s001,st_s001,68.1985002051985,-156.114299984688,2001,192.289250851152
st_s001,st_s001,68.1985002051985,-156.114299984688,2002,125.401995566073
st_s001,st_s001,68.1985002051985,-156.114299984688,2003,142.067843154597
st_s001,st_s001,68.1985002051985,-156.114299984688,2004,232.667277947416
st_s001,st_s001,68.1985002051985,-156.114299984688,2010,88.9420218977448
st_s001,st_s001,68.1985002051985,-156.114299984688,2015,128.394561370493
st_s001,st_s001,68.1985002051985,-156.114299984688,2016,118.358337092046
st_s001,st_s001,68.1985002051985,-156.114299984688,2017,124.247259377501
st_s001,st_s001,68.1985002051985,-156.114299984688,2018,165.80947589528
st_s001,st_s001,68.1985002051985,-156.114299984688,2019,106.258896145064
st_s001,st_s001,68.1985002051985,-156.114299984688,2020,127.120744732396
st_s001,st_s001,68.1985002051985,-156.114299984688,2023,141.250806285846
st_s001,st_s001,68.1985002051985,-156.114299984688,2013,156.597268608494
st_s001,st_s001,68.1985002051985,-156.114299984688,2014,152.041915970553
st_s001,st_s001,68.1985002051985,-156.114299984688,2022,107.166108634901
st_s001,st_s001,68.1985002051985,-156.114299984688,2012,491.286378390715
st_s001,st_s001,68.1985002051985,-156.114299984688,2024,82.3026154426133
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,1995,39.3667999193235
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2006,66.9036524683211
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2008,76.357391753621
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2009,55.716396823993
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2011,65.2824614694365
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,1986,34.0298446242794
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2005,41.5111451571424
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2007,32.4801056260458
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2010,55.5842455082668
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2021,35.4093337043578
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2022,61.388264743861
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2000,37.9372887311476
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2001,78.3352554876395
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2002,59.7809849336398
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2003,23.9305237293193
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2004,84.1363241233458
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2013,24.2254237256637
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2014,48.2076709335867
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2015,52.2860444337027
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2016,54.6900372015655
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2017,44.4550543557993
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2018,46.2118970563026
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2019,62.0189552658331
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2020,92.3989933667459
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2023,92.1112340570373
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,1999,68.1693644857491
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2012,70.4157545357172
st_s001_ref,st_s001_ref,68.1874202051876,-156.065769984692,2024,84.2992883487074
st_s002,st_s002,68.6937602052197,-131.64161998437,1985,49.5984940477143
st_s002,st_s002,68.6937602052197,-131.64161998437,1986,155.523959510353
st_s002,st_s002,68.6937602052197,-131.64161998437,1987,71.4369672201099
st_s002,st_s002,68.6937602052197,-131.64161998437,1988,45.8109178580624
st_s002,st_s002,68.6937602052197,-131.64161998437,1989,50.4036359462745
st_s002,st_s002,68.6937602052197,-131.64161998437,1990,23.9884612866671
st_s002,st_s002,68.6937602052197,-131.64161998437,1993,75.8173782539436
st_s002,st_s002,68.6937602052197,-131.64161998437,1994,77.7258722958199
st_s002,st_s002,68.6937602052197,-131.64161998437,1997,113.826863170633
st_s002,st_s002,68.6937602052197,-131.64161998437,1998,76.0036175654734
st_s002,st_s002,68.6937602052197,-131.64161998437,1999,63.9731121808941
st_s002,st_s002,68.6937602052197,-131.64161998437,2004,96.4790011284038
st_s002,st_s002,68.6937602052197,-131.64161998437,2006,159.000785344149
st_s002,st_s002,68.6937602052197,-131.64161998437,2009,123.82407727599
st_s002,st_s002,68.6937602052197,-131.64161998437,2011,94.7314891622751
st_s002,st_s002,68.6937602052197,-131.64161998437,1984,68.1484532045862
st_s002,st_s002,68.6937602052197,-131.64161998437,1991,33.2771430474057
st_s002,st_s002,68.6937602052197,-131.64161998437,1992,107.25704314643
st_s002,st_s002,68.6937602052197,-131.64161998437,1995,134.853958118106
st_s002,st_s002,68.6937602052197,-131.64161998437,2005,100.588017454715
st_s002,st_s002,68.6937602052197,-131.64161998437,2008,51.7317686742862
st_s002,st_s002,68.6937602052197,-131.64161998437,2010,121.700707753506
st_s002,st_s002,68.6937602052197,-131.64161998437,1996,76.9426443649903
st_s002,st_s002,68.6937602052197,-131.64161998437,2000,125.260391687414
st_s002,st_s002,68.6937602052197,-131.64161998437,2001,71.1055101113134
st_s002,st_s002,68.6937602052197,-131.64161998437,2012,234.134179016335
st_s002,st_s002,68.6937602052197,-131.64161998437,2014,185.265530485789
st_s002,st_s002,68.6937602052197,-131.64161998437,2016,191.3293202495
