system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,img_qual,lat,lon,nd_median,pixel_qa_median,site_no,snow_ice_qa_count,solar_az,solar_zen,.geo
1_1_1_LT05_052016_19840713_10,893.5500000000002,15,1189.4500000000003,1392.1250000000002,1348.9499999999998,256.92500000000007,292.47480752,225.57500000000007,27.0,0,1984-07-13,9.0,63.66944020518405,-124.03920998715267,-0.6559827327728271,32.0,s008,0,152.51301702,46.71047902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19840729_10,640.0,38,985.6749999999997,1082.75,1381.95,199.72500000000005,289.2242705,157.3749999999999,1.0,0,1984-07-29,9.0,63.66944020518405,-124.03920998715267,-0.6630251407623291,1.0,s008,0,153.37783969,43.60937031,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19840729_11,533.0249999999997,32,849.5500000000001,963.3999999999999,1287.625,324.84999999999985,291.16228784,156.82499999999987,1.0,0,1984-07-29,9.0,63.557550205232616,-124.15494998723467,-0.42510783672332764,1.0,s008_ref,0,153.37783969,43.60937031,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19840814_10,535.4999999999999,41,806.925,978.25,986.7749999999997,214.5749999999999,285.08504828,168.92500000000004,3.0,0,1984-08-14,9.0,63.66944020518405,-124.03920998715267,-0.5798825025558472,32.0,s008,0,155.27225112,39.35780732,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19840814_11,566.3000000000002,43,847.0749999999999,972.4749999999999,1133.6249999999998,448.0500000000001,282.20707544,311.65,3.0,0,1984-08-14,9.0,63.557550205232616,-124.15494998723467,-0.3009846053418921,1.0,s008_ref,0,155.27225112,39.35780732,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19841017_10,1073.2212379702537,92,1057.9268068833653,903.9999999999999,972.4365542763157,206.325,266.56621592,181.85000000000008,70.0,0,1984-10-17,7.0,63.66944020518405,-124.03920998715267,-0.6434978395700455,32.0,s008,0,165.05372701,16.76228259,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19841017_11,1334.0999999999997,29,1398.7250000000001,1289.825,1724.6,574.8249999999999,265.95780836,289.0999999999999,70.0,0,1984-10-17,7.0,63.557550205232616,-124.15494998723467,-0.4214416444301605,1.0,s008_ref,118,165.05372701,16.76228259,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19850310_10,1618.7249999999997,2,1535.9499999999998,1525.5000000000002,2272.9500000000003,826.1750000000001,261.73313564,379.57500000000005,2.0,112,1985-03-10,9.0,63.66944020518405,-124.03920998715267,-0.30048155791924636,2.0,s008,100,157.79427141,21.44474728,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19850326_10,1452.3500000000001,1,1303.8499999999997,1138.0249999999996,1886.3000000000002,641.9249999999998,256.65395792,355.09999999999985,63.0,116,1985-03-26,9.0,63.66944020518405,-124.03920998715267,-0.3401857912540436,2.0,s008,136,157.83434263,27.85418764,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19850513_10,1325.575,2,1379.7500000000002,1337.1250000000002,1496.3500000000001,704.3500000000003,268.83236318,493.7,31.0,125,1985-05-13,9.0,63.66944020518405,-124.03920998715267,-0.3240727484226227,4.0,s008,0,156.96696239,44.09550411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19850529_10,468.3999999999999,30,691.7,814.6249999999999,660.6250000000002,266.825,284.96541758,183.77499999999992,76.0,0,1985-05-29,9.0,63.66944020518405,-124.03920998715267,-0.44325917959213257,32.0,s008,0,155.69368448,47.16032119,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19850529_11,383.975,24,602.3250000000003,663.0999999999998,614.7000000000003,265.4499999999999,285.52939088,183.2249999999999,76.0,0,1985-05-29,9.0,63.557550205232616,-124.15494998723467,-0.38820546865463257,32.0,s008_ref,0,155.69368448,47.16032119,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19850630_10,449.97499999999997,3,714.2500000000001,763.7500000000002,1170.7499999999998,582.5249999999999,298.34696587999997,346.8499999999999,2.0,146,1985-06-30,9.0,63.66944020518405,-124.03920998715267,-0.10157891362905502,2.0,s008,0,153.06255693,48.24719611,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19850630_11,373.24999999999994,1,630.925,726.8999999999997,828.9249999999998,466.74999999999994,300.55842482,305.6,2.0,135,1985-06-30,9.0,63.557550205232616,-124.15494998723467,-0.14956612884998322,2.0,s008_ref,0,153.06255693,48.24719611,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19850716_10,401.3,6,534.3999999999999,615.25,619.3749999999998,479.4000000000001,289.78140776,314.94999999999993,52.0,0,1985-07-16,9.0,63.66944020518405,-124.03920998715267,-0.16692356765270233,32.0,s008,0,152.84490008,46.30289933,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19850716_11,338.3249999999999,9,503.0499999999999,545.95,444.7499999999999,300.1000000000001,292.97383844,229.6999999999999,52.0,0,1985-07-16,9.0,63.557550205232616,-124.15494998723467,-0.2526925206184387,32.0,s008_ref,0,152.84490008,46.30289933,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19860430_11,1594.25,2,1584.9,1415.3625,2121.8375,461.52499999999986,272.60243923999997,276.03750000000014,58.0,0,1986-04-30,9.0,63.557550205232616,-124.15494998723467,-0.5471154153347015,16.0,s008_ref,164,155.80985299,40.17396334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19860601_11,924.2125000000001,4,1170.475,1214.4750000000001,1332.0375000000001,700.7750000000001,288.96450098,410.9249999999999,67.0,83,1986-06-01,9.0,63.557550205232616,-124.15494998723467,-0.26842520385980606,1.0,s008_ref,0,153.2402618,47.17865643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19860617_10,454.65000000000003,16,629.8249999999999,724.4250000000002,604.7999999999997,289.6499999999999,297.23610938,260.4999999999999,6.0,0,1986-06-17,9.0,63.66944020518405,-124.03920998715267,-0.34016743302345276,32.0,s008,0,151.61387533,48.24846441,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19860617_11,291.02500000000003,4,500.02500000000003,538.7999999999998,476.09999999999985,260.225,298.08377834,219.79999999999998,6.0,99,1986-06-17,9.0,63.557550205232616,-124.15494998723467,-0.31542256474494934,32.0,s008_ref,0,151.61387533,48.24846441,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19860921_10,467.8499999999999,23,693.3499999999998,782.7250000000003,580.8750000000001,316.04999999999995,283.9092494,179.92499999999995,84.0,0,1986-09-21,9.0,63.66944020518405,-124.03920998715267,-0.37361574172973633,32.0,s008,0,158.72420283,26.12597586,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19861007_10,690.6000000000001,26,766.7750000000001,687.5749999999997,678.5000000000002,281.95,271.27624748,232.175,12.0,0,1986-10-07,9.0,63.66944020518405,-124.03920998715267,-0.3733741044998169,32.0,s008,0,161.02437076,20.17665406,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052016_19861007_11,1144.365096878364,113,1148.847865648169,1011.7999999999998,1490.8500000000001,586.1,270.07994048,319.89999999999986,12.0,0,1986-10-07,9.0,63.557550205232616,-124.15494998723467,-0.3603189753961157,1.0,s008_ref,30,161.02437076,20.17665406,"{""type"":""MultiPoint"",""coordinates"":[]}"
