system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,img_qual,lat,lon,nd_median,pixel_qa_median,site_no,snow_ice_qa_count,solar_az,solar_zen,.geo
1_1_1_LT05_060012_19860609_0,347.2625,2,423.7125,448.87499999999994,434.5750000000001,313.4375,285.79941446,215.95000000000005,3.0,0,1986-06-09,9.0,68.42509020521814,-132.20318998438606,-0.15110791474580765,32.0,s005,0,160.91249536,43.73340564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_060012_19900604_0,281.67499999999984,1,332.82499999999993,395.5249999999999,339.15000000000003,253.89999999999995,283.09234261999995,240.1500000000001,25.0,0,1990-06-04,9.0,68.42509020521814,-132.20318998438606,-0.1345178782939911,32.0,s005,0,160.31421092,43.21560227,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_060012_19900620_0,391.4000000000001,1,424.40000000000003,399.1,555.0250000000001,374.6250000000001,294.03684266,239.32499999999996,43.0,62,1990-06-20,9.0,68.42509020521814,-132.20318998438606,-0.062294673174619675,4.0,s005,0,159.10082551,44.06492785,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_060012_19920913_0,1200.9999999999998,14,1227.9499999999998,1205.3999999999999,1488.3750000000002,822.0499999999997,274.09269596,473.3499999999999,11.0,0,1992-09-13,9.0,68.42509020521814,-132.20318998438606,-0.2301184059379694,1.0,s005,0,164.24427926,24.44157624,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_060012_19920913_1,1633.8500000000001,1,1635.2250000000001,1652.0000000000002,2128.3,968.0749999999999,273.49112444,472.7999999999999,11.0,0,1992-09-13,9.0,68.38263020514366,-132.3255099846317,-0.2562708854675293,4.0,s005_ref,6,164.24427926,24.44157624,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_060012_19950906_1,983.4749999999998,1,820.1249999999999,812.1499999999999,1255.7249999999997,629.0000000000001,273.26895314,237.67499999999998,89.0,0,1995-09-06,9.0,68.38263020514366,-132.3255099846317,-0.1318899393081665,1.0,s005_ref,0,157.529198,26.63185113,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_060012_19990731_1,275.35,1,313.5750000000001,179.92499999999995,692.2499999999998,283.59999999999997,292.61152832,121.35000000000007,23.0,44,1999-07-31,9.0,68.38263020514366,-132.3255099846317,-0.05019466578960419,4.0,s005_ref,0,163.83566973,39.24677693,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_060012_20090726_0,657.5999999999998,2,712.875,601.4999999999998,1576.9250000000002,659.7999999999998,295.8381392,343.0,8.0,77,2009-07-26,9.0,68.42509020521814,-132.20318998438606,-0.03866538032889366,1.0,s005,0,167.35977992,40.57820214,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_060012_20110529_0,390.025,1,520.1,515.425,661.9999999999998,500.57499999999976,291.62030252,371.59999999999997,17.0,121,2011-05-29,9.0,68.42509020521814,-132.20318998438606,-0.019129497930407524,2.0,s005,0,169.98325067,43.12439939,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_061012_19840930_0,836.075,24,854.7749999999999,933.1499999999999,1330.25,640.0,269.18441924,350.6999999999999,11.0,3,1984-09-30,9.0,68.42509020521814,-132.20318998438606,-0.10728683514673358,4.0,s005,0,168.65190566,18.20948764,"{""type"":""MultiPoint"",""coordinates"":[]}"
