system:index,date,mean,site_no,.geo
19800101_0,1980-01-01,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800102_0,1980-01-02,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800103_0,1980-01-03,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800104_0,1980-01-04,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800105_0,1980-01-05,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800106_0,1980-01-06,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800107_0,1980-01-07,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800108_0,1980-01-08,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800109_0,1980-01-09,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800110_0,1980-01-10,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800111_0,1980-01-11,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800112_0,1980-01-12,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800113_0,1980-01-13,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800114_0,1980-01-14,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800115_0,1980-01-15,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800116_0,1980-01-16,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800117_0,1980-01-17,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800118_0,1980-01-18,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800119_0,1980-01-19,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800120_0,1980-01-20,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800121_0,1980-01-21,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800122_0,1980-01-22,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
