system:index,area_m2,control,count,label,mean,net_change,.geo
00000000000000000000_00000000000000000000,15967.0,2.0596785520620084,2,-110359184672273,0.4765970002046684,-1.58308155185734,"{""type"":""Polygon"",""coordinates"":[[[-131.54348548359795,68.84716468017938],[-131.54126500041286,68.84711564491488],[-131.54099283207077,68.84872094633441],[-131.54321802157193,68.84876998106338],[-131.54348548359795,68.84716468017938]]]}"
00000000000000000001_00000000000000000001,15967.0,2.142744882936642,2,-110363479639562,2.5703509679243908,0.42760608498774877,"{""type"":""Polygon"",""coordinates"":[[[-131.561393290601,68.8467499934398],[-131.55694761046016,68.84665192935414],[-131.55681388752933,68.84745454971161],[-131.56125952709965,68.84755267237267],[-131.561393290601,68.8467499934398]]]}"
00000000000000000002_00000000000000000002,15967.0,2.4298417059080615,2,-110423609181360,2.655040407956998,0.22519870204893655,"{""type"":""MultiPolygon"",""coordinates"":[[[[-132.3299148902106,68.85028610967882],[-132.3321399928255,68.85032623698777],[-132.33224255805968,68.84952353896215],[-132.3300175269373,68.84948341317437],[-132.3299148902106,68.85028610967882]]],[[[-132.3299148902106,68.85028610967882],[-132.32768984811358,68.8502503813366],[-132.32758731416115,68.85105302180494],[-132.3298122589553,68.85108868929754],[-132.3299148902106,68.85028610967882]]]]}"
00000000000000000004_00000000000000000004,15963.0,2.5550076920510203,2,-110561048135170,3.348366693434466,0.7933590013834455,"{""type"":""MultiPolygon"",""coordinates"":[[[[-131.58291727684104,68.8109746052866],[-131.58278354854474,68.81177728752245],[-131.58499972569115,68.81182628498478],[-131.5851335496521,68.8110236640336],[-131.58291727684104,68.8109746052866]]],[[[-131.58291727684104,68.8109746052866],[-131.58304660531573,68.81017199323344],[-131.5808304999983,68.81012739882674],[-131.5806967099601,68.81093007801307],[-131.58291727684104,68.8109746052866]]]]}"
00000000000000000005_00000000000000000005,15963.0,1.5338201842557275,2,-110586817938943,2.2759128503743757,0.7420926661186482,"{""type"":""Polygon"",""coordinates"":[[[-131.59049341582283,68.80550330575844],[-131.58827709811158,68.80545425965667],[-131.58801408658886,68.80705954018566],[-131.59023019685546,68.8071085815729],[-131.59049341582283,68.80550330575844]]]}"
00000000000000000006_00000000000000000006,15963.0,1.1519268458851535,2,-110655537415357,1.128294550118295,-0.023632295766858435,"{""type"":""Polygon"",""coordinates"":[[[-132.30665627249306,68.80643976516804],[-132.30443547691874,68.80639958406024],[-132.3042261573181,68.8080048813344],[-132.30644657716005,68.80804499636321],[-132.30665627249306,68.80643976516804]]]}"
00000000000000000007_00000000000000000007,15957.0,0.7979039143159814,2,-110917530420703,0.2440184168768248,-0.5538854974391566,"{""type"":""Polygon"",""coordinates"":[[[-131.6735976550808,68.74528317352868],[-131.66917415293335,68.74518954778335],[-131.66904937297141,68.74599216650464],[-131.67346847065906,68.74608580470743],[-131.6735976550808,68.74528317352868]]]}"
00000000000000000008_00000000000000000008,15956.0,0.030077042386892256,2,-110943300224491,0.23219002935405653,0.20211298696716426,"{""type"":""Polygon"",""coordinates"":[[[-131.64784184516787,68.73990549627763],[-131.6434228709116,68.73981183748843],[-131.64329361605178,68.7406145152314],[-131.64771256502013,68.74070811466039],[-131.64784184516787,68.73990549627763]]]}"
00000000000000000009_00000000000000000009,15955.0,-0.14064198103828662,2,-111012019701223,0.18574566818163818,0.3263876492199248,"{""type"":""MultiPolygon"",""coordinates"":[[[[-131.6565416139046,68.72721039220657],[-131.6587488358183,68.72725942802225],[-131.65887802941324,68.72645682947896],[-131.6566708778561,68.72640779557798],[-131.6565416139046,68.72721039220657]]],[[[-131.6565416139046,68.72721039220657],[-131.65432995960404,68.72716582633456],[-131.65420043414483,68.72796847690242],[-131.65641215897944,68.72801304468996],[-131.6565416139046,68.72721039220657]]]]}"
0000000000000000000a_0000000000000000000a,15954.0,0.5729697783325699,2,-111029199570401,1.3365992425541053,0.7636294642215354,"{""type"":""Polygon"",""coordinates"":[[[-131.6725185712111,68.7243298452932],[-131.66809947935184,68.72423619405971],[-131.66797024618853,68.72503878845757],[-131.6723892970042,68.72513249826889],[-131.6725185712111,68.7243298452932]]]}"
