system:index,area_m2,control,count,label,mean,net_change,.geo
00000000000000000067_00000000000000000067,16236.0,3.83979634676634,2,-92492120724929,3.5790523954066145,-0.2607439513597254,"{""type"":""MultiPolygon"",""coordinates"":[[[[-120.50267111029505,71.67240651832894],[-120.50202462972413,71.67319132998054],[-120.50452153793864,71.67339643124956],[-120.50516371959797,71.67261164272146],[-120.50267111029505,71.67240651832894]]],[[[-120.50267111029505,71.67240651832894],[-120.50331754040758,71.6716217039881],[-120.50082058827546,71.6714210904932],[-120.50017829407741,71.67220586399807],[-120.50267111029505,71.67240651832894]]]]}"
00000000000000000066_00000000000000000066,16237.0,3.9138185332240933,2,-92487825757609,4.2968859636067025,0.38306743038260915,"{""type"":""MultiPolygon"",""coordinates"":[[[[-120.56190138404153,71.67805174541711],[-120.56125914746883,71.67883655843133],[-120.5637519315708,71.67904165832587],[-120.56439385986008,71.67825687647135],[-120.56190138404153,71.67805174541711]]],[[[-120.56190138404153,71.67805174541711],[-120.56254334349177,71.67726696973978],[-120.56004638674172,71.67706627581732],[-120.55940411870925,71.67785108263267],[-120.56190138404153,71.67805174541711]]]]}"
00000000000000000068_00000000000000000068,16237.0,3.327185500142663,2,-92492120724856,2.925680828166105,-0.40150467197655804,"{""type"":""Polygon"",""coordinates"":[[[-120.68801352110992,71.68654631094736],[-120.68301950474846,71.68614504048226],[-120.68238159828726,71.68692982152348],[-120.68738037700264,71.68733110767907],[-120.68801352110992,71.68654631094736]]]}"
00000000000000000065_00000000000000000065,16238.0,3.7352585281852337,2,-92457760986508,4.058936566199741,0.3236780380145077,"{""type"":""MultiPolygon"",""coordinates"":[[[[-120.63045108812025,71.68861090490294],[-120.63294810888793,71.68881154375784],[-120.63359032649927,71.68802680431831],[-120.63109323823383,71.68782609918551],[-120.63045108812025,71.68861090490294]]],[[[-120.63045108812025,71.68861090490294],[-120.62795390696876,71.68841026718339],[-120.62731622346323,71.68919506117768],[-120.62981348636988,71.68939570768407],[-120.63045108812025,71.68861090490294]]]]}"
0000000000000000006e_0000000000000000006e,16238.0,1.4594954143371304,2,-92719753991280,1.3604958523174195,-0.09899956201971083,"{""type"":""Polygon"",""coordinates"":[[[-121.37915644717984,71.69630735464202],[-121.37665040285253,71.69611559002752],[-121.37543748185854,71.69768965054283],[-121.37794354043895,71.697881357524],[-121.37915644717984,71.69630735464202]]]}"
0000000000000000006f_0000000000000000006f,16238.0,0.8829725397289776,2,-92741228827758,1.995970523453196,1.1129979837242183,"{""type"":""Polygon"",""coordinates"":[[[-121.38971563108281,71.69294068461821],[-121.38469899148018,71.69255723430864],[-121.38409276439755,71.69334647420614],[-121.38910920365457,71.69372551565233],[-121.38971563108281,71.69294068461821]]]}"
0000000000000000006d_0000000000000000006d,16239.0,1.7481072657292236,2,-92689689220205,2.2137239004356477,0.4656166347064241,"{""type"":""Polygon"",""coordinates"":[[[-121.38242945399008,71.7023939793709],[-121.37991885501827,71.7022022463915],[-121.37870599281582,71.70377628223274],[-121.38121214703546,71.7039680536582],[-121.38242945399008,71.7023939793709]]]}"
00000000000000000064_00000000000000000064,16242.0,3.709720638940574,2,-92427696215217,2.6164376301801395,-1.0932830087604346,"{""type"":""Polygon"",""coordinates"":[[[-121.17443926452046,71.7373578194603],[-121.17192862582104,71.73716155092983],[-121.17069335145365,71.73873568810963],[-121.17320400500283,71.73893189910396],[-121.17443926452046,71.7373578194603]]]}"
0000000000000000006a_0000000000000000006a,16242.0,-0.11799451232355038,2,-92539365364824,-0.02279956144475647,0.0951949508787939,"{""type"":""Polygon"",""coordinates"":[[[-121.41639441158463,71.73416510752618],[-121.41136890622094,71.73378604967974],[-121.41076235768556,71.73457085236761],[-121.41578802376904,71.73495431917068],[-121.41639441158463,71.73416510752618]]]}"
00000000000000000054_00000000000000000054,16245.0,4.074937551878859,2,-91989609551247,4.627167806160758,0.5522302542818984,"{""type"":""Polygon"",""coordinates"":[[[-120.55535544125713,71.77379313512787],[-120.55033874647826,71.77338732762688],[-120.54969229953872,71.77417213255724],[-120.55470878152337,71.77457792265437],[-120.55535544125713,71.77379313512787]]]}"
