system:index,control,label,mean,net_change,.geo
0_0,3.094123856157979,0,2.9442519662958606,-0.1498718898621183,"{""type"":""Polygon"",""coordinates"":[[[-120.95138855044587,71.68234898951829],[-120.95338792386408,71.68225944039392],[-120.9552280942248,71.68199792355118],[-120.95676254755811,71.68158526223544],[-120.95786913285778,71.68105431284613],[-120.9584597879568,71.68044734689587],[-120.95848754239738,71.6798126837198],[-120.95795024201689,71.67920084274479],[-120.95689070322717,71.67866052206959],[-120.95539329007138,71.67823472348309],[-120.95357719112727,71.67795733193627],[-120.95158693381927,71.6778504209884],[-120.94958089066053,71.67792249787554],[-120.94771868901276,71.67816782723136],[-120.94614852149229,71.67856688701293],[-120.94499536189164,71.67908792052938],[-120.94435102087063,71.67968946163268],[-120.9442668318561,71.68032363288923],[-120.9447495512122,71.68093995498859],[-120.94576080329678,71.68148936467063],[-120.94722011992371,71.68192812141524],[-120.94901133704876,71.6822212915313],[-120.95099184218522,71.68234553157957],[-120.95138855044587,71.68234898951829]]]}"
1_1,1.3328877741310778,1,1.3105360851672594,-0.02235168896381845,"{""type"":""Polygon"",""coordinates"":[[[-120.6120475110098,72.06558915361113],[-120.61408815919721,72.0654996042486],[-120.61596631652647,72.06523808676576],[-120.6175324436632,72.06482542460776],[-120.61866186799169,72.06429447443693],[-120.6192647103275,72.06368750800982],[-120.61929303211895,72.06305284481031],[-120.61874463646596,72.06244100427259],[-120.61766322504457,72.06190068435886],[-120.6161349040482,72.06147488662046],[-120.61428132207601,72.06119749574373],[-120.61224998870361,72.0610905850789],[-120.61020254381293,72.06116266177371],[-120.60830190798279,72.06140799052184],[-120.60669933149082,72.06180704946996],[-120.60552236737588,72.06232808218722],[-120.60486472197935,72.06292962277493],[-120.60477878968645,72.06356379396048],[-120.60527146804237,72.06418011645556],[-120.60630359081634,72.0647295268766],[-120.6077930297247,72.06516828447292],[-120.60962122288251,72.06546145528748],[-120.61164261312042,72.06558569566303],[-120.6120475110098,72.06558915361113]]]}"
2_2,3.2953862335972253,2,3.285575758756749,-0.009810474840476147,"{""type"":""Polygon"",""coordinates"":[[[-120.75945024886656,71.74349313236478],[-120.7614560891825,71.74340358320306],[-120.76330221131411,71.74314206625995],[-120.76484162728174,71.74272940481211],[-120.76595179099516,71.74219845530024],[-120.76654435559624,71.74159148927521],[-120.76657219894308,71.74095682609544],[-120.76603316017258,71.74034498518901],[-120.76497019439563,71.73980466463324],[-120.76346793861269,71.73937886617973],[-120.76164596683694,71.739101474738],[-120.7596492737375,71.73899456383454],[-120.75763674376145,71.7390666406915],[-120.7557685202545,71.73931196995203],[-120.75419327490886,71.73971102960289],[-120.75303638563311,71.74023206299401],[-120.75238996010002,71.74083360401644],[-120.75230549796339,71.74146777526185],[-120.75278977770326,71.74208409742327],[-120.7538042998045,71.7426335072212],[-120.75526833597552,71.7430722640994],[-120.75706534647979,71.743365434325],[-120.75905225746153,71.7434896744246],[-120.75945024886656,71.74349313236478]]]}"
3_3,1.7370009390957821,3,1.5998869977157189,-0.13711394138006328,"{""type"":""Polygon"",""coordinates"":[[[-120.90776424658861,72.03080803785541],[-120.90980107490626,72.03071848851489],[-120.91167571664491,72.03045697109123],[-120.91323891246087,72.0300443090111],[-120.91436622310647,72.02951335891252],[-120.9149679375559,72.0289063925295],[-120.91499620684961,72.02827172933216],[-120.91444883803982,72.027659888754],[-120.91336945087158,72.02711956876989],[-120.91184399030608,72.02669377095307],[-120.90999387727484,72.0264163800144],[-120.90796634536571,72.0263094693234],[-120.9059227320776,72.02638154603598],[-120.9040256532143,72.02662687484029],[-120.90242607607757,72.02702593386547],[-120.90125131500506,72.02754696665663],[-120.90059490089732,72.02814850729202],[-120.9005091299487,72.0287826784841],[-120.9010008866357,72.02939900094262],[-120.9020310778918,72.02994841129534],[-120.90351772906926,72.0303871688129],[-120.90534250019648,72.03068033956288],[-120.90736010662756,72.03080457990816],[-120.90776424658861,72.03080803785541]]]}"
4_4,2.507236779384074,4,2.4717339881957963,-0.035502791188277705,"{""type"":""Polygon"",""coordinates"":[[[-120.771568328548,71.68714800992802],[-120.77356820794297,71.68705846080073],[-120.7754088439764,71.68679694395013],[-120.77694368559153,71.68638428262405],[-120.77805055087013,71.68585333322514],[-120.77864135537077,71.68524636726906],[-120.77866911676765,71.68461170409269],[-120.77813168037386,71.68399986312305],[-120.7770718734531,71.68345954245719],[-120.77557408140503,71.68303374388108],[-120.77375752296419,71.6827563523425],[-120.77176676211289,71.68264944139811],[-120.76976021141846,71.68272151828288],[-120.76789753861394,71.68296684763123],[-120.76632697379897,71.68336590740257],[-120.76517352238464,71.68388694090923],[-120.7645290182694,71.6844884820062],[-120.76444480788565,71.68512265326189],[-120.76492764932799,71.68573897536608],[-120.76593915726227,71.68628838505718],[-120.76739884315131,71.68672714181227],[-120.7691905135564,71.6870203119369],[-120.7711715198928,71.68714455198918],[-120.771568328548,71.68714800992802]]]}"
5_5,2.0438968558495763,5,1.9460813189873216,-0.09781553686225464,"{""type"":""Polygon"",""coordinates"":[[[-121.36715591565513,71.7173866147742],[-121.36915898943089,71.71729706562844],[-121.3710025653938,71.71703554872828],[-121.37253985834583,71.71662288733694],[-121.37364849121367,71.7160919378775],[-121.37424023893008,71.71548497188445],[-121.37426804424344,71.71485030870626],[-121.37372974915695,71.71423846777051],[-121.37266824944581,71.71369814716364],[-121.37116806533925,71.71327234865323],[-121.36934860596114,71.71299495716656],[-121.36735466609342,71.7128880462441],[-121.36534491117791,71.71296012311397],[-121.36347926382258,71.71320545241525],[-121.36190619077098,71.71360451212203],[-121.36075089705086,71.71412554556677],[-121.36010536327285,71.71472708662378],[-121.36002101797847,71.71536125787397],[-121.36050463018654,71.71597758000884],[-121.36151775337463,71.71652698975718],[-121.3629797705241,71.71696574657824],[-121.36477430261974,71.71725891675699],[-121.36675847317956,71.71738315683463],[-121.36715591565513,71.7173866147742]]]}"
6_6,3.5544609790477124,6,3.808331347699009,0.25387036865129664,"{""type"":""Polygon"",""coordinates"":[[[-120.73408949563945,71.73103402234348],[-120.73609401464343,71.7309444731894],[-120.73793892071349,71.73068295626678],[-120.73947732271945,71.73027029484594],[-120.7405867552943,71.7297393453591],[-120.74117892974773,71.72913237934934],[-120.74120675492975,71.72849771617035],[-120.74066807134612,71.72788587524991],[-120.73960580576876,71.72734555466972],[-120.73810453942762,71.72691975618906],[-120.73628376758403,71.72664236472585],[-120.73428838944017,71.72653545381333],[-120.73227718484523,71.72660753067645],[-120.7304101917196,71.72685285995642],[-120.72883598387118,71.727251919634],[-120.72767985663991,71.72777295305073],[-120.7270338570131,71.72837449408968],[-120.72694945068098,71.72900866533737],[-120.72743341160479,71.7296249874861],[-120.72844726557898,71.73017439726036],[-120.72991033745636,71.73061315411127],[-120.73170616426161,71.73090632431449],[-120.73369176640557,71.7310305644036],[-120.73408949563945,71.73103402234348]]]}"
7_7,2.5723243766456774,7,2.5490651443043486,-0.02325923234132876,"{""type"":""Polygon"",""coordinates"":[[[-120.69282111320022,72.02463245483786],[-120.69485726485136,72.02454290550126],[-120.69673128382466,72.02428138808808],[-120.69829396037501,72.02386872602175],[-120.69942089659446,72.02333777593597],[-120.70002241124557,72.02273080956076],[-120.7000506712394,72.0220961463638],[-120.69950348432847,72.02148430577847],[-120.69842445574427,72.0209439857819],[-120.69689950188672,72.02051818795117],[-120.69505000335741,72.02024079700152],[-120.69302314485451,72.0201338863059],[-120.6909802103117,72.02020596302164],[-120.68908376154353,72.02045129183591],[-120.6874847157244,72.02085035087474],[-120.68631034490738,72.02137138367897],[-120.68565414891478,72.02197292432281],[-120.68556840654713,72.02260709551607],[-120.68605999996592,72.0232234179681],[-120.68708984906532,72.02377282830871],[-120.68857600641321,72.02421158581231],[-120.69040017134861,72.02450475655085],[-120.69241710750157,72.02462899689078],[-120.69282111320022,72.02463245483786]]]}"
8_8,9.145021674254805,8,9.218687923544296,0.0736662492894915,"{""type"":""Polygon"",""coordinates"":[[[-121.35694759364954,72.03086137466674],[-121.35898442781344,72.0307718253262],[-121.36085907493265,72.03051030790243],[-121.36242227523492,72.03009764582218],[-121.3635495891155,72.0295666957235],[-121.36415130529114,72.02895972934041],[-121.36417957466516,72.02832506614307],[-121.36363220428382,72.02771322556498],[-121.36255281401752,72.02717290558097],[-121.36102734907416,72.02674710776427],[-121.35917723073378,72.02646971682569],[-121.35714969300656,72.02636280613473],[-121.35510607385426,72.0264348828473],[-121.35320898954707,72.02668021165151],[-121.3516094078199,72.02707927067658],[-121.35043464337565,72.02760030346761],[-121.34977822738347,72.02820184410292],[-121.34969245618788,72.02883601529501],[-121.35018421428546,72.02945233775358],[-121.35121440849777,72.0300017481064],[-121.35270106394177,72.03044050562409],[-121.35452584030635,72.03073367637415],[-121.35654345252851,72.0308579167195],[-121.35694759364954,72.03086137466674]]]}"
9_9,2.9408577394211135,9,2.8573316713166874,-0.08352606810442609,"{""type"":""Polygon"",""coordinates"":[[[-120.91947321295874,71.83445820349988],[-120.92148875623086,71.83436865428214],[-120.92334380841835,71.83410713718847],[-120.92489067033428,71.83369447554256],[-120.92600620310324,71.83316352584687],[-120.92660163271708,71.83255655970967],[-120.92662960944932,71.83192189652442],[-120.92608796238649,71.83131005572082],[-120.9250198547464,71.83076973534415],[-120.92351033307659,71.83034393709012],[-120.92167954969803,71.83006654580599],[-120.91967320033298,71.82995963496909],[-120.91765093753231,71.83003171178082],[-120.9157736788221,71.83027704089841],[-120.91419081469907,71.83067610035326],[-120.91302832940765,71.8311971335564],[-120.91237877626058,71.83179867445757],[-120.9122939043213,71.8324328456863],[-120.91278052525551,71.83304916794079],[-120.91379995369171,71.83359857791253],[-120.91527107107694,71.83403733499104],[-120.91707677398496,71.8343305053809],[-120.91907329631934,71.8344547455575],[-120.91947321295874,71.83445820349988]]]}"
