system:index,control,label,mean,net_change,.geo
0_0,-0.25388748175119613,0,-0.31319285832133215,-0.059305376570136015,"{""type"":""Polygon"",""coordinates"":[[[-122.06878225054339,71.79580480374679],[-122.07079365871404,71.79571525455293],[-122.07264490518669,71.7954537375234],[-122.07418859386931,71.79504107596189],[-122.0753018385133,71.79451012634453],[-122.07589604714839,71.79390316025513],[-122.07592396703733,71.7932684970722],[-122.07538343154934,71.79265665622479],[-122.07431751521305,71.79211633577181],[-122.07281109003958,71.79169053743279],[-122.070984061893,71.79141314608151],[-122.06898182772862,71.79130623521623],[-122.06696371275568,71.79137831204724],[-122.06509030456891,71.79162364122573],[-122.06351068733308,71.7920227007641],[-122.06235058689111,71.79254373404734],[-122.06170236663763,71.79314527500019],[-122.06161766934498,71.79377944623602],[-122.0621032925358,71.79439576845085],[-122.06312063004434,71.79494517834853],[-122.06458872963483,71.79538393534168],[-122.06639072810815,71.79567710566157],[-122.06838315437967,71.79580134580533],[-122.06878225054339,71.79580480374679]]]}"
1_1,-0.08291278173427738,1,-0.19126087391833832,-0.10834809218406094,"{""type"":""Polygon"",""coordinates"":[[[-121.94895744821045,71.43965024239215],[-121.95093158065818,71.4395606934137],[-121.95274852063062,71.4392991769631],[-121.95426360426036,71.43888651616336],[-121.95535622259482,71.43835556725286],[-121.95593942465447,71.43774860159475],[-121.9559668320343,71.43711393843303],[-121.95543631673988,71.43650209719013],[-121.95439015383855,71.43596177604839],[-121.952911641998,71.4355359769423],[-121.95111846539712,71.43525858498495],[-121.94915332774289,71.43515167386371],[-121.94717260339903,71.43522375086866],[-121.94533390576976,71.43546908059677],[-121.94378355757375,71.43586814088896],[-121.94264495529092,71.43638917489504],[-121.94200875031189,71.43699071631418],[-121.94192562727342,71.43762488761425],[-121.9424022562348,71.43824120947116],[-121.9434007450573,71.43879061870044],[-121.94484164078303,71.43922937492329],[-121.94661024573594,71.43952254461142],[-121.9485657481945,71.43964678445917],[-121.94895744821045,71.43965024239215]]]}"
2_2,4.878176799664876,2,5.57084459935866,0.6926677996937833,"{""type"":""Polygon"",""coordinates"":[[[-121.05581566152262,71.73941275139708],[-121.05782106890432,71.73932320223787],[-121.05966679258746,71.73906168530146],[-121.06120587632562,71.73864902386248],[-121.06231580047798,71.73811807435881],[-121.06290823724531,71.73751110833877],[-121.06293607464038,71.73687644515927],[-121.06239715224861,71.73626460424825],[-121.06133441589542,71.73572428368446],[-121.05983248430789,71.73529848522206],[-121.05801090569568,71.73502109377331],[-121.05601464344778,71.73491418286686],[-121.05400254773924,71.73498625972584],[-121.05213472737265,71.73523158899273],[-121.050559821968,71.73563064865236],[-121.04940318237978,71.73615168205187],[-121.048756896397,71.73675322307972],[-121.04867245254499,71.73738739432586],[-121.04915662782325,71.73800371648315],[-121.05017093100946,71.7385531262733],[-121.05163465122503,71.73899188314256],[-121.05343127388454,71.73928505336085],[-121.05541775601924,71.739409293457],[-121.05581566152262,71.73941275139708]]]}"
4_4,2.972925144665043,4,2.9250566569005825,-0.04786848776446062,"{""type"":""Polygon"",""coordinates"":[[[-120.85793980080558,71.7915840473671],[-120.85995075852667,71.79149449817584],[-120.86180159043086,71.79123298115331],[-120.86334493344313,71.79082031960098],[-120.86445792883438,71.79028936999215],[-120.86505200446432,71.78968240390796],[-120.86507991816097,71.78904774072531],[-120.86453950376024,71.78843589987312],[-120.86347382612956,71.78789557941181],[-120.86196773826723,71.78746978106352],[-120.86014111919003,71.78719238970493],[-120.8581393333076,71.78708547883656],[-120.85612167017078,71.78715755566968],[-120.8542486814338,71.7874028848548],[-120.85266941789172,71.78780194440228],[-120.85150957723887,71.78832297769425],[-120.85086150218163,71.78892451865272],[-120.85077682391366,71.78955868988932],[-120.85126233841699,71.79017501209984],[-120.85227944815414,71.79072442198944],[-120.85374721900668,71.7911631789733],[-120.85554881394427,71.79145634928555],[-120.85754079401887,71.79158058942575],[-120.85793980080558,71.7915840473671]]]}"
5_5,-1.6537842330293206,5,-1.2003111218017661,0.4534731112275545,"{""type"":""Polygon"",""coordinates"":[[[-121.54739537038213,71.76331956789252],[-121.54940331711998,71.76323001871864],[-121.5512513778842,71.76296850174283],[-121.55279241029879,71.76255584025199],[-121.55390373958538,71.7620248907002],[-121.55449692615527,71.76141792465083],[-121.55452479845985,71.76078326146987],[-121.55398519345388,71.76017142058576],[-121.55292111142602,71.75963110006889],[-121.55141727828551,71.7592053016587],[-121.54959339359095,71.75892791025119],[-121.54759460420384,71.75882099936217],[-121.5455799613198,71.7588930762093],[-121.54370977635233,71.75913840543879],[-121.54213287703973,71.7595374650471],[-121.54097477292062,71.7600584983974],[-121.540327668412,71.76066003939351],[-121.54024311731197,71.76129421063528],[-121.54072790530455,71.76191053281693],[-121.54174349252662,71.76245994265258],[-121.5432090659643,71.76289869957428],[-121.54500796350919,71.76319186983557],[-121.54699696102658,71.76331610995186],[-121.54739537038213,71.76331956789252]]]}"
6_6,4.6522326438296835,6,4.65230792663872,7.528280903645879E-5,"{""type"":""Polygon"",""coordinates"":[[[-121.0470467754645,71.75098815041733],[-121.04905341152634,71.75089860125102],[-121.05090026601788,71.75063708429555],[-121.05244029263297,71.75022442283147],[-121.05355089666665,71.7496934733045],[-121.0541436962298,71.74908650727026],[-121.0541715505161,71.74845184409007],[-121.05363229783809,71.74784000319207],[-121.05256891037348,71.74729968265099],[-121.05106605870995,71.74687388421384],[-121.0492433642881,71.74659649278505],[-121.04724587927106,71.74648958188703],[-121.0452325510987,71.74656165874029],[-121.04336358660801,71.74680698798907],[-121.04178771644091,71.74720604762386],[-121.0406303682321,71.74772708099958],[-121.03998368620152,71.74832862201205],[-121.03989919045712,71.7489627932561],[-121.04038366220038,71.74957911542516],[-121.04139858667385,71.75012852523734],[-121.04286320358028,71.75056728213197],[-121.0446609269545,71.75086045237104],[-121.04664862616973,71.75098469247696],[-121.0470467754645,71.75098815041733]]]}"
7_7,3.937037557642388,7,3.750325670872857,-0.186711886769531,"{""type"":""Polygon"",""coordinates"":[[[-120.9952200992858,71.47795634275523],[-120.99719817082273,71.47786679375399],[-120.99901873611535,71.47760527724219],[-121.00053684257126,71.47719261636186],[-121.00163164058591,71.47666166737658],[-121.00221600576778,71.47605470167285],[-121.00224346731497,71.4754200385089],[-121.00171189314761,71.47480819730784],[-121.00066364281369,71.47426787623894],[-120.99918218124208,71.47384207721399],[-120.9973854273877,71.47356468532075],[-120.99541636956701,71.47345777422659],[-120.99343169397551,71.47352985121314],[-120.99158932831635,71.47377518088311],[-120.99003588712465,71.47417424109555],[-120.98889501303537,71.4746952750252],[-120.98825753835352,71.47529681639502],[-120.98817424896453,71.47593098768827],[-120.98865182839472,71.47654730958305],[-120.9896523090486,71.47709671888303],[-120.99109607953139,71.47753547518735],[-120.99286821332645,71.4778286449423],[-120.99482761768652,71.47795288482136],[-120.9952200992858,71.47795634275523]]]}"
8_8,4.272235232678952,8,4.120811119894269,-0.15142411278468249,"{""type"":""Polygon"",""coordinates"":[[[-120.66587270480159,71.71697967206636],[-120.6678757355168,71.71689012292087],[-120.66971927184919,71.71662860602136],[-120.671256531757,71.71621594463092],[-120.67236514079762,71.71568499517228],[-120.6729568757994,71.71507802917972],[-120.67298468052076,71.71444336600157],[-120.67244639700954,71.71383152506536],[-120.67138492011738,71.71329120445769],[-120.66988476825594,71.71286540594642],[-120.66806534798272,71.71258801445903],[-120.66607145096839,71.71248110353629],[-120.66406173924608,71.71255318040635],[-120.66219613198794,71.71279850970826],[-120.66062309274754,71.71319756941591],[-120.6594678238619,71.71371860286148],[-120.65882230396377,71.71432014391904],[-120.65873796048807,71.7149543151693],[-120.65922156230616,71.71557063730376],[-120.66023466372047,71.71612004705132],[-120.6616966494444,71.71655880387151],[-120.66349114296416,71.71685197404952],[-120.66547527086995,71.71697621412682],[-120.66587270480159,71.71697967206636]]]}"
9_9,3.9354865067406615,9,4.026237440126136,0.09075093338547413,"{""type"":""Polygon"",""coordinates"":[[[-121.15196023107976,71.65481848831726],[-121.15395670707564,71.65472893920965],[-121.15579421081058,71.65446742241188],[-121.15732644068932,71.65405476115534],[-121.15843142271854,71.65352381182096],[-121.1590212222843,71.65291684590422],[-121.15904893688968,71.6522821827298],[-121.1585124153747,71.65167034172404],[-121.15745441200896,71.65113002099534],[-121.1559591685403,71.65070422234922],[-121.15414570085623,71.65042683075531],[-121.1521583270369,71.65031991978758],[-121.15015519022845,71.65039199668821],[-121.14829568661106,71.65063732608674],[-121.14672779415584,71.65103638592687],[-121.14557630559538,71.65155741949951],[-121.14493289851627,71.65215896063903],[-121.14484883186942,71.65279313190057],[-121.14533085211089,71.65340945397213],[-121.14634063909885,71.65395886360221],[-121.14779784118495,71.65439762028699],[-121.14958646264981,71.65469079035395],[-121.15156409771775,71.65481503037921],[-121.15196023107976,71.65481848831726]]]}"
10_10,3.0127233014590473,10,3.0037687431533975,-0.00895455830564984,"{""type"":""Polygon"",""coordinates"":[[[-121.10147523157629,71.49422980580931],[-121.10345498157415,71.49414025679836],[-121.10527709162946,71.49387874026046],[-121.10679648612285,71.49346607934582],[-121.10789221290705,71.49293513032868],[-121.10847707369906,71.49232816460552],[-121.10850455832656,71.49169350144061],[-121.10797253296909,71.49108166025735],[-121.10692339317215,71.4905413392195],[-121.10544067470937,71.49011554022913],[-121.10364239657446,71.48983814836319],[-121.10167166835694,71.48973123728057],[-121.09968530912485,71.48980331425928],[-121.09784138050506,71.49004864390449],[-121.09628662137659,71.49044770408297],[-121.09514477926199,71.49096873798003],[-121.09450676355465,71.49157027932883],[-121.09442340328249,71.4922044506192],[-121.09490138771045,71.49282077253011],[-121.09590271709068,71.4933701818602],[-121.0973477125181,71.49380893819924],[-121.09912134996611,71.49410210798267],[-121.10108241694135,71.49422634787507],[-121.10147523157629,71.49422980580931]]]}"
