system:index,area_m2,control,count,label,mean,net_change,.geo
00000000000000000001_00000000000000000001,10889.0,-0.5957697997896237,12,-258389527511962,-0.8964859395919659,-0.30071613980234213,"{""type"":""Polygon"",""coordinates"":[[[-118.95415007371473,72.78906357070248],[-118.95327179271648,72.78898772013144],[-118.95352579636914,72.78872462215168],[-118.95264749596399,72.7886532697612],[-118.95239327900039,72.7889119028635],[-118.95151477456487,72.78883608105632],[-118.95100650314423,72.78935780738118],[-118.95188502736211,72.78943363147347],[-118.95112693211331,72.79021399489588],[-118.95288811218349,72.79036560328248],[-118.95313794666153,72.79010246288284],[-118.95225953399415,72.79002672209236],[-118.9525137689643,72.78976808961062],[-118.9533919298312,72.78984386709827],[-118.95415007371473,72.78906357070248]]]}"
00000000000000000017_00000000000000000017,10885.0,-0.1324237013892456,12,-260463996714999,-0.2173207537271978,-0.0848970523379522,"{""type"":""Polygon"",""coordinates"":[[[-119.89384317149015,72.73087673261261],[-119.89296034147439,72.7308053362452],[-119.893196616282,72.73054230795736],[-119.89231839420457,72.73047096534067],[-119.89255454445502,72.73021228603848],[-119.89167610088201,72.73014097906649],[-119.89143535173194,72.73039959999637],[-119.89055693175885,72.73033271133906],[-119.89032060168651,72.7305913124623],[-119.88943771989072,72.73052001250753],[-119.88896498252117,72.73104617411897],[-119.88984342435148,72.73111307055814],[-119.89007976743457,72.7308544702286],[-119.89096266815092,72.73092576667591],[-119.89072633506076,72.73118436807938],[-119.89248766019018,72.73132708245672],[-119.89272394807159,72.73106405496024],[-119.89360243905925,72.7311353560222],[-119.89384317149015,72.73087673261261]]]}"
0000000000000000001b_0000000000000000001b,10883.0,1.738502269008814,12,-260760349458734,1.389255947373147,-0.34924632163566716,"{""type"":""MultiPolygon"",""coordinates"":[[[[-119.63657980532533,72.69010274821571],[-119.6374582038201,72.69017404415662],[-119.6376990342142,72.68991543490914],[-119.6368207646409,72.68983960054202],[-119.63657980532533,72.69010274821571]]],[[[-119.63506828512831,72.68969690961478],[-119.63530913849539,72.68943830323433],[-119.63443063415635,72.68936691991806],[-119.63418992288274,72.68962560109568],[-119.63506828512831,72.68969690961478]]],[[[-119.63657980532533,72.69010274821571],[-119.63570150352805,72.69003133304548],[-119.63594223297426,72.68976822523975],[-119.63506828512831,72.68969690961478],[-119.63458667913021,72.69021862190954],[-119.63370829692553,72.6901473112085],[-119.63346753409304,72.69041041603026],[-119.6325889985692,72.69033902378514],[-119.63234825109035,72.69059770225587],[-119.63322664452213,72.69066901970245],[-119.63298586840503,72.69093212371314],[-119.63385985726916,72.691003449304],[-119.63434150310755,72.69048173945033],[-119.63697664430556,72.69069576217437],[-119.63721748786004,72.69043715373458],[-119.63633892729638,72.69036578081669],[-119.63657980532533,72.69010274821571]]]]}"
00000000000000000022_00000000000000000022,10878.0,-0.8672998537163953,12,-261821206381216,-2.6207077588221823,-1.753407905105787,"{""type"":""MultiPolygon"",""coordinates"":[[[[-119.36929258403676,72.59967660303798],[-119.36978297479168,72.59915485026764],[-119.36890891636762,72.59907903615556],[-119.36842290544058,72.59960078211506],[-119.36929258403676,72.59967660303798]]],[[[-119.36929258403676,72.59967660303798],[-119.36856112173498,72.60045695451024],[-119.37117873448375,72.60067542479278],[-119.37190986965858,72.59989510179616],[-119.37103600397926,72.5998192606557],[-119.37128116980283,72.59956069065824],[-119.3704117844707,72.59948934369494],[-119.3701663698146,72.59974795099129],[-119.36929258403676,72.59967660303798]]]]}"
00000000000000000024_00000000000000000024,10881.0,1.9461306620828676,12,-261842681217010,1.9152637010251499,-0.03086696105771769,"{""type"":""Polygon"",""coordinates"":[[[-119.97287184138246,72.64659080031987],[-119.97199793902539,72.64651943366886],[-119.97222970690866,72.6462563623745],[-119.97135578236788,72.64618953153337],[-119.97064697761448,72.6469743016872],[-119.96977283345304,72.64690296305093],[-119.96930017869659,72.64742463903858],[-119.97017852166263,72.64749599885772],[-119.969705860986,72.64801767542902],[-119.9705842325794,72.64808903282051],[-119.97105711230493,72.64756731486277],[-119.97193100945579,72.64763426130553],[-119.97216725615445,72.6473755947248],[-119.97128890596565,72.64730424511048],[-119.97152511108418,72.6470411547508],[-119.97240384331786,72.64711253963888],[-119.97287184138246,72.64659080031987]]]}"
0000000000000000002a_0000000000000000002a,10879.0,0.5943131621633848,12,-262070314483787,0.788629713310434,0.19431655114704915,"{""type"":""Polygon"",""coordinates"":[[[-119.90645801803386,72.62751027457404],[-119.90558400060478,72.62743898134909],[-119.90582021820211,72.62717585389154],[-119.90494645824036,72.62710451805319],[-119.90518286273034,72.6268458917116],[-119.90430431716646,72.62677453435093],[-119.90359983359573,72.62755939142117],[-119.90447384381162,72.62763069478709],[-119.90376476652416,72.62841549434161],[-119.90551716848961,72.6285537654247],[-119.90645801803386,72.62751027457404]]]}"
00000000000000000033_00000000000000000033,10872.0,0.5191268361399609,12,-263921445388571,0.2629337838159869,-0.256193052323974,"{""type"":""MultiPolygon"",""coordinates"":[[[[-119.82720193135107,72.4996010243468],[-119.8245979006274,72.4993914570084],[-119.82388881544006,72.5001762505452],[-119.825627961585,72.50031446093402],[-119.8258641121845,72.5000558127402],[-119.82672931281503,72.50012713924244],[-119.82720193135107,72.4996010243468]]],[[[-119.82720193135107,72.4996010243468],[-119.82807150422602,72.49967232802567],[-119.82830776777412,72.49941375228507],[-119.82917295613434,72.49948506660714],[-119.82964558249327,72.49895883032802],[-119.8287760305394,72.49888753436962],[-119.82854409401187,72.49915063540655],[-119.82767477806432,72.49907929484338],[-119.82720193135107,72.4996010243468]]]]}"
00000000000000000037_00000000000000000037,10869.0,1.3649291577298532,12,-264492676039252,1.9810680268036056,0.6161388690737524,"{""type"":""MultiPolygon"",""coordinates"":[[[[-119.58833241481435,72.44258689640243],[-119.58919749683116,72.4426582417432],[-119.58943819065568,72.44239967882164],[-119.58857323991639,72.44232379297856],[-119.58833241481435,72.44258689640243]]],[[[-119.58550076206762,72.4426314964558],[-119.58574173749864,72.4423728996049],[-119.58487672506786,72.44229710941944],[-119.58463585450077,72.4425602080823],[-119.58550076206762,72.4426314964558]]],[[[-119.58833241481435,72.44258689640243],[-119.58746734130777,72.44251554657465],[-119.5877079391891,72.44225248294273],[-119.58684288394512,72.44218112971978],[-119.58636582814219,72.4427028563303],[-119.58550076206762,72.4426314964558],[-119.5850236611027,72.44315321934606],[-119.58848401903214,72.44344306748542],[-119.58872024905394,72.44318001276348],[-119.58785538467662,72.44310862655776],[-119.58833241481435,72.44258689640243]]]]}"
0000000000000000003f_0000000000000000003f,10867.0,1.1236051046444733,12,-264999482180246,0.8208085775913445,-0.30279652705312876,"{""type"":""Polygon"",""coordinates"":[[[-119.5605521466752,72.40685167948084],[-119.55882643924217,72.40670456452352],[-119.55858573073571,72.4069676409763],[-119.55599948314689,72.4067491214997],[-119.55552238911066,72.4072708304539],[-119.55897365421234,72.40756072056173],[-119.55873729565941,72.40782378786358],[-119.55959791407933,72.40789515768091],[-119.56007516155451,72.40737340002637],[-119.5592143257379,72.40730207102636],[-119.55945090798404,72.40703896429572],[-119.56031149751402,72.40711033088677],[-119.5605521466752,72.40685167948084]]]}"
00000000000000000041_00000000000000000041,10869.0,1.6925650783346875,12,-265317309759383,2.0237915344148543,0.33122645608016676,"{""type"":""Polygon"",""coordinates"":[[[-120.24155497566093,72.44133841076766],[-120.23982043169175,72.44120013085477],[-120.2395930391601,72.44145872525054],[-120.23872355311916,72.44139191849406],[-120.23849601758889,72.4416549764506],[-120.23676163643815,72.44151674067888],[-120.23607483776624,72.44230154322166],[-120.2369442636843,72.44236847817278],[-120.23717178366769,72.4421097723213],[-120.23804120789768,72.44217670169982],[-120.23826860303751,72.44191356908709],[-120.24000318930175,72.44205186425899],[-120.24023082061842,72.44179322995213],[-120.24110009673942,72.44186006829791],[-120.24155497566093,72.44133841076766]]]}"
00000000000000000043_00000000000000000043,10868.0,1.8491721244495445,12,-265433273876389,1.478852273075544,-0.3703198513740005,"{""type"":""MultiPolygon"",""coordinates"":[[[[-120.23425995486042,72.43375788437908],[-120.23403235399252,72.43401651392824],[-120.23489761820935,72.43408783666497],[-120.23512947499717,72.4338247540637],[-120.23425995486042,72.43375788437908]]],[[[-120.23166021138877,72.43354830464679],[-120.23079525041724,72.4334814657732],[-120.23056334431358,72.43374454308996],[-120.23143284179392,72.43381143191388],[-120.23166021138877,72.43354830464679]]],[[[-120.23425995486042,72.43375788437908],[-120.23494648905836,72.4329730803277],[-120.23234683377515,72.43276350996805],[-120.23166021138877,72.43354830464679],[-120.2325252048502,72.43361967944396],[-120.2322980811746,72.43388276815443],[-120.23316759495846,72.43394964792687],[-120.23339470868574,72.4336865581803],[-120.23425995486042,72.43375788437908]]]]}"
00000000000000000003_00000000000000000003,11796.0,-0.4243387431558636,13,-258793254437444,-1.2455270786833446,-0.8211883355274809,"{""type"":""MultiPolygon"",""coordinates"":[[[[-119.2759143114253,72.7919396375248],[-119.27566481933405,72.79219827819873],[-119.27654768797909,72.79227411449045],[-119.27679284417162,72.79201105073284],[-119.2759143114253,72.7919396375248]]],[[[-119.2759143114253,72.7919396375248],[-119.27615971254914,72.79167653615883],[-119.27528110824878,72.79160523399713],[-119.27503161309805,72.79186387397215],[-119.2759143114253,72.7919396375248]]],[[[-119.27615971254914,72.79167653615883],[-119.27792538303336,72.79182369888052],[-119.27817079320795,72.7915650956901],[-119.27729214494673,72.79148930294014],[-119.27753755825815,72.7912307004331],[-119.2766591707216,72.79115486595558],[-119.27789865047518,72.78985276713433],[-119.27613735553851,72.78970563745195],[-119.27588765671392,72.78996431758719],[-119.27677051759981,72.79004003958451],[-119.27602582591078,72.7908203883064],[-119.2751430611543,72.7907490492875],[-119.27489333495497,72.79100772770434],[-119.27577599414188,72.79108349247923],[-119.27552651264517,72.79134213330998],[-119.2764093421414,72.79141797082443],[-119.27615971254914,72.79167653615883]]]]}"
00000000000000000010_00000000000000000010,11794.0,0.9663544691593752,13,-259330125349371,1.1592636337610607,0.1929091646016855,"{""type"":""Polygon"",""coordinates"":[[[-119.37658759615891,72.76287523511003],[-119.3757047647224,72.7628039019026],[-119.3754594028607,72.76306249107829],[-119.3728195040851,72.76284398805228],[-119.37331022166514,72.76232231510211],[-119.3724316306943,72.76225099805933],[-119.3721862360154,72.76250958322142],[-119.37130344918013,72.76243822713138],[-119.37081307057774,72.76295993250928],[-119.37257431582842,72.76310715042558],[-119.37207936256681,72.76362878748438],[-119.37296220747095,72.76370013888263],[-119.37320760934632,72.76344155318165],[-119.37408601693579,72.7635129039739],[-119.37433125083435,72.76325424063582],[-119.37609250883646,72.76339692123146],[-119.37658759615891,72.76287523511003]]]}"
0000000000000000001e_0000000000000000001e,11789.0,0.9640737653390669,13,-261146896515276,0.8297721588715484,-0.13430160646751843,"{""type"":""Polygon"",""coordinates"":[[[-119.7428090182491,72.67404549745596],[-119.74193046166396,72.67397858832904],[-119.74168972423959,72.67423726422204],[-119.74081583398767,72.67416587140858],[-119.74105216027988,72.67390721094597],[-119.74017820122766,72.67383592939194],[-119.73969652056302,72.67435762538275],[-119.74057507282859,72.67442897057676],[-119.74009780687048,72.67495065281926],[-119.73921938695511,72.67487938125667],[-119.73897883549407,72.67514243920446],[-119.73985702584076,72.67521375077787],[-119.7396162457696,72.67547242357168],[-119.74049484666925,72.67554376854663],[-119.7407356168634,72.67528509465828],[-119.7416139769622,72.67535647289084],[-119.7428090182491,72.67404549745596]]]}"
00000000000000000023_00000000000000000023,11783.0,-1.035051130903545,13,-261821206381434,-0.14610503659038973,0.8889460943131553,"{""type"":""MultiPolygon"",""coordinates"":[[[[-119.17982080373942,72.58426589308064],[-119.17957537545989,72.58452902599086],[-119.18044510143756,72.58460040377676],[-119.1806901508223,72.58434173442431],[-119.17982080373942,72.58426589308064]]],[[[-119.18230001554493,72.58363278098375],[-119.18316959074299,72.58370857184474],[-119.18292419221095,72.58396720646958],[-119.18379378607963,72.58404299393757],[-119.18428429786404,72.58352125736535],[-119.18254541705416,72.58337414705541],[-119.18230001554493,72.58363278098375]]],[[[-119.17982080373942,72.58426589308064],[-119.18006600536098,72.5840073007527],[-119.17919643776635,72.58393149416004],[-119.17944164237024,72.58367290252808],[-119.18205471705707,72.58389580287547],[-119.18230001554493,72.58363278098375],[-119.18056100166113,72.58348557414274],[-119.18080618328084,72.58322698057589],[-119.17906713422387,72.58307987243363],[-119.17808167722043,72.58411877603855],[-119.17982080373942,72.58426589308064]]]]}"
00000000000000000026_00000000000000000026,11787.0,0.343439689330156,13,-261937170497618,-0.2822667498762963,-0.6257064392064523,"{""type"":""Polygon"",""coordinates"":[[[-119.89563589505754,72.63533156722627],[-119.89300929113125,72.63512196035445],[-119.89324577061919,72.63485885146358],[-119.89149342570482,72.6347206878404],[-119.89172967985955,72.63445761982915],[-119.89085569029871,72.63438621559132],[-119.8903828892712,72.63490796345498],[-119.89125698493851,72.6349792550418],[-119.89102063151705,72.63524243706011],[-119.89189474582336,72.63531372517991],[-119.89142194559638,72.6358354749749],[-119.89317432893536,72.63597817762685],[-119.89364706145248,72.63545199879779],[-119.89539943920465,72.63559467893828],[-119.89563589505754,72.63533156722627]]]}"
