system:index,area_m2,control,count,label,mean,net_change,.geo
00000000000000000111_00000000000000000111,15682.0,-0.16377596937485625,2,-124820339556087,-0.17878157840623873,-0.015005609031382483,"{""type"":""Polygon"",""coordinates"":[[[-135.52444170004017,66.19030743028651],[-135.524406076748,66.18871555191029],[-135.52243491955105,66.18872445594857],[-135.5224707476858,66.19031633355307],[-135.52444170004017,66.19030743028651]]]}"
00000000000000000112_00000000000000000112,15682.0,-1.5657614269756157,2,-124820339556166,-2.222161113104654,-0.6563996861290382,"{""type"":""Polygon"",""coordinates"":[[[-135.37065178757058,66.18999974570204],[-135.37063833258958,66.18920162120439],[-135.3666965342617,66.18921050033998],[-135.36670543479386,66.19000863828285],[-135.37065178757058,66.18999974570204]]]}"
00000000000000000114_00000000000000000114,15682.0,-1.4790424486121374,2,-124846109360033,-1.637810301900681,-0.1587678532885437,"{""type"":""Polygon"",""coordinates"":[[[-135.18923757608883,66.18637006674716],[-135.1892242463319,66.18477814582958],[-135.18725339639835,66.1847826394423],[-135.18726677198063,66.1863745017461],[-135.18923757608883,66.18637006674716]]]}"
00000000000000000115_00000000000000000115,15682.0,-0.04593679995683246,2,-124854699294445,-1.052239667807932,-1.0063028678510995,"{""type"":""Polygon"",""coordinates"":[[[-135.54595679276107,66.18305692635927],[-135.5459389623084,66.18225872393751],[-135.5419972549662,66.18227659599737],[-135.54201488627885,66.1830703462227],[-135.54595679276107,66.18305692635927]]]}"
00000000000000000110_00000000000000000110,15683.0,-0.7092152999004947,2,-124798864719601,-0.4713215640251592,0.23789373587533552,"{""type"":""MultiPolygon"",""coordinates"":[[[[-135.53634295155206,66.19345112967841],[-135.5363608310679,66.19424925032125],[-135.53833174022296,66.19424036366674],[-135.538313961861,66.19344218402762],[-135.53634295155206,66.19345112967841]]],[[[-135.53634295155206,66.19345112967841],[-135.53632507090205,66.1926528943842],[-135.53435427493204,66.19266186657693],[-135.53437209697142,66.19345998496662],[-135.53634295155206,66.19345112967841]]]]}"
0000000000000000010f_0000000000000000010f,15684.0,-0.5924014996184171,2,-124751620079347,-0.3147125898904695,0.27768890972794763,"{""type"":""Polygon"",""coordinates"":[[[-135.53261974217568,66.20302923887803],[-135.53258402516806,66.20143288557814],[-135.53061292408233,66.20144179736911],[-135.53064876099148,66.20303369676722],[-135.53261974217568,66.20302923887803]]]}"
0000000000000000010e_0000000000000000010e,15685.0,4.289449599772351,2,-124704375439426,6.60613945552281,2.316689855750459,"{""type"":""Polygon"",""coordinates"":[[[-134.87370716300524,66.21114479860549],[-134.86976090409664,66.21114033983422],[-134.86975638235097,66.21193849486757],[-134.87370277438592,66.2119385003647],[-134.87370716300524,66.21114479860549]]]}"
00000000000000000109_00000000000000000109,15686.0,-0.36735072863474233,2,-124631360995041,-0.48874048490114935,-0.12138975626640702,"{""type"":""Polygon"",""coordinates"":[[[-135.56867602402187,66.2251999095526],[-135.56863576029855,66.22360800767393],[-135.566660402283,66.22361697276357],[-135.5667003931795,66.22520881738689],[-135.56867602402187,66.2251999095526]]]}"
0000000000000000010a_0000000000000000010a,15686.0,-1.0861088583727678,2,-124639950929726,-2.2185554226650277,-1.1324465642922599,"{""type"":""MultiPolygon"",""coordinates"":[[[[-135.38500551175935,66.22342959704828],[-135.38501901838484,66.22422337590699],[-135.38699421754072,66.22421892120538],[-135.3869809104762,66.22342068802656],[-135.38500551175935,66.22342959704828]]],[[[-135.38500551175935,66.22342959704828],[-135.38499226371113,66.22263148336994],[-135.38302130562167,66.22263589383279],[-135.38303020982116,66.2234340794417],[-135.38500551175935,66.22342959704828]]]]}"
0000000000000000010b_0000000000000000010b,15686.0,-5.121991965837966,2,-124648540864674,-4.500233524143667,0.6217584416942987,"{""type"":""MultiPolygon"",""coordinates"":[[[[-134.68214424033852,66.22199829613848],[-134.68213084968798,66.22279646705034],[-134.68410627567982,66.22280088581265],[-134.68411516289603,66.22200270346376],[-134.68214424033852,66.22199829613848]]],[[[-134.68214424033852,66.22199829613848],[-134.68215313264145,66.22120456997307],[-134.6801776622675,66.2212000613494],[-134.68016887185723,66.22199384638417],[-134.68214424033852,66.22199829613848]]]]}"
0000000000000000010c_0000000000000000010c,15686.0,3.8034608340107616,2,-124652835831913,1.3802060721310598,-2.4232547618797016,"{""type"":""Polygon"",""coordinates"":[[[-134.79468756181768,66.22061150205266],[-134.79271653050847,66.2206114738394],[-134.79269865673763,66.22220337917447],[-134.79467405639215,66.22220780966417],[-134.79468756181768,66.22061150205266]]]}"
0000000000000000010d_0000000000000000010d,15686.0,-38.112856068034695,2,-124657130799243,-3.9748100407043307,34.13804602733036,"{""type"":""Polygon"",""coordinates"":[[[-134.72955334977038,66.21970623920288],[-134.7256025627692,66.21970185243838],[-134.72559363776324,66.22049557358558],[-134.7295443346693,66.22050447240026],[-134.72955334977038,66.21970623920288]]]}"
00000000000000000107_00000000000000000107,15687.0,-1.6907649923964292,2,-124605591191439,-2.0543698140255415,-0.36360482162911234,"{""type"":""Polygon"",""coordinates"":[[[-135.22712212793974,66.230145025029],[-135.227113238977,66.22934681946496],[-135.22316250893655,66.22935129196226],[-135.22317128472864,66.2301494977923],[-135.22712212793974,66.230145025029]]]}"
000000000000000000fa_000000000000000000fa,15688.0,-0.3551694637035295,2,-124536871714505,-0.09585357208058837,0.2593158916229411,"{""type"":""MultiPolygon"",""coordinates"":[[[[-135.61650429093118,66.24173868737525],[-135.61652647083213,66.24253242718169],[-135.6185019844664,66.24252795519853],[-135.6184840990478,66.24172973999627],[-135.61650429093118,66.24173868737525]]],[[[-135.61650429093118,66.24173868737525],[-135.61648630576204,66.24094053379031],[-135.61451100204152,66.24094942773141],[-135.61452877298828,66.24174764097289],[-135.61650429093118,66.24173868737525]]]]}"
000000000000000000fb_000000000000000000fb,15688.0,-0.38504101344974023,2,-124545461649089,0.28821275155382575,0.6732537650035659,"{""type"":""Polygon"",""coordinates"":[[[-135.6322894818233,66.24086913501613],[-135.63224937220315,66.23927725175362],[-135.63026942412844,66.23928618408677],[-135.63031403036973,66.24087810335504],[-135.6322894818233,66.24086913501613]]]}"
000000000000000000fe_000000000000000000fe,15688.0,9.193092637856425,2,-124545461649487,4.401061243123853,-4.792031394732573,"{""type"":""Polygon"",""coordinates"":[[[-134.8478579123753,66.24060163276678],[-134.84390716597062,66.24059717815696],[-134.84390253398684,66.24139530874837],[-134.84785323435338,66.24139982190925],[-134.8478579123753,66.24060163276678]]]}"
00000000000000000100_00000000000000000100,15688.0,35.04141548804655,2,-124562641518666,129.02137140964038,93.97995592159383,"{""type"":""Polygon"",""coordinates"":[[[-134.8557814795424,66.23742230429633],[-134.8538060810693,66.23742229777204],[-134.85379740811908,66.23901420544061],[-134.8557725785914,66.23901866560482],[-134.8557814795424,66.23742230429633]]]}"
000000000000000000f8_000000000000000000f8,15689.0,0.823832461835476,2,-124506806943771,1.1436151615011039,0.3197826996656279,"{""type"":""Polygon"",""coordinates"":[[[-134.9486110460043,66.24784768431861],[-134.94663570330718,66.24784767838311],[-134.94663138049972,66.24943953766181],[-134.94860667704694,66.24943960219946],[-134.9486110460043,66.24784768431861]]]}"
000000000000000000f9_000000000000000000f9,15689.0,1.7915314332426016,2,-124519691845839,-1.339023067686483,-3.1305545009290845,"{""type"":""Polygon"",""coordinates"":[[[-134.59487510334247,66.24488680273083],[-134.59091987203874,66.2448779246174],[-134.59090655687567,66.24567610806672],[-134.59485729116517,66.24568503026374],[-134.59487510334247,66.24488680273083]]]}"
000000000000000000f2_000000000000000000f2,15690.0,0.6573208337145053,2,-124459562303471,1.3555160746754935,0.6981952409609882,"{""type"":""Polygon"",""coordinates"":[[[-135.03757033387865,66.25741691898448],[-135.0375657580374,66.25661867808242],[-135.0336106475512,66.25661874708358],[-135.03361495087185,66.25741692955883],[-135.03757033387865,66.25741691898448]]]}"
000000000000000000f3_000000000000000000f3,15690.0,-0.5565991828565013,2,-124463857270490,-0.644133043859992,-0.0875338610034907,"{""type"":""MultiPolygon"",""coordinates"":[[[[-135.58325707362286,66.25542813791937],[-135.58327943003576,66.25622186181985],[-135.5852548063032,66.25621739269148],[-135.58523706983806,66.25541919283383],[-135.58325707362286,66.25542813791937]]],[[[-135.58325707362286,66.25542813791937],[-135.58323939504425,66.25462994028805],[-135.5812594537384,66.25463885379602],[-135.58128184546962,66.25543702955724],[-135.58325707362286,66.25542813791937]]]]}"
000000000000000000f5_000000000000000000f5,15690.0,1.583982468571245,2,-124472447205400,2.7196148463657925,1.1356323777945476,"{""type"":""Polygon"",""coordinates"":[[[-134.9545284094387,66.25422421677382],[-134.95255293233757,66.25422418713133],[-134.95254862116607,66.25582054054352],[-134.9545238935304,66.25582057013226],[-134.9545284094387,66.25422421677382]]]}"
000000000000000000f6_000000000000000000f6,15690.0,-1.200143413367952,2,-124472447205114,-0.7297079080710311,0.4704355052969209,"{""type"":""Polygon"",""coordinates"":[[[-135.52193566085973,66.25407260535505],[-135.52191783362878,66.25327441272756],[-135.5179624766941,66.25328778950703],[-135.51798034843,66.25408592341218],[-135.52193566085973,66.25407260535505]]]}"
000000000000000000ec_000000000000000000ec,15696.0,0.9908901955608173,2,-124176094461906,0.5017306686465097,-0.48915952691430753,"{""type"":""Polygon"",""coordinates"":[[[-135.0931483543122,66.31079234563974],[-135.09313951090638,66.30920045969076],[-135.0911596460647,66.30920044820319],[-135.09116423345998,66.31079233728934],[-135.0931483543122,66.31079234563974]]]}"
